audit_unit_id,case_rows,audit_case_ids,row_dispositions,unit_disposition,markets,events,questions,unit_review_rule
V4-CASE-001,1,V4-CASE-001,unusual_but_unresolved,unusual_but_unresolved,1,0,Will Egypt win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
V4-CASE-002,1,V4-CASE-002,unusual_but_unresolved,unusual_but_unresolved,1,0,Will Portugal win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
V4-CASE-006,1,V4-CASE-006,not_anomalous_after_context,not_anomalous_after_context,1,1,Will United States win on 2026-06-12?,unresolved > event_information > not_anomalous_after_context > insufficient_data
argentina_egypt_postmatch_terminal,5,V4-CASE-035;V4-CASE-036;V4-CASE-040;V4-CASE-041;V4-CASE-053,event_information;not_anomalous_after_context,event_information,1,1,Will Argentina win on 2026-07-07?,unresolved > event_information > not_anomalous_after_context > insufficient_data
argentina_outright_2026-07-07,1,V4-CASE-027,unusual_but_unresolved,unusual_but_unresolved,1,0,Will Argentina win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
belgium_egypt_postmatch_terminal,1,V4-CASE-046,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Belgium win on 2026-06-15?,unresolved > event_information > not_anomalous_after_context > insufficient_data
belgium_senegal_prematch,1,V4-CASE-067,unusual_but_unresolved,unusual_but_unresolved,1,1,Will Belgium win on 2026-07-01?,unresolved > event_information > not_anomalous_after_context > insufficient_data
brazil_japan_postmatch_terminal,1,V4-CASE-044,event_information,event_information,1,1,Will Brazil win on 2026-06-29?,unresolved > event_information > not_anomalous_after_context > insufficient_data
canada_morocco_inplay,1,V4-CASE-051,event_information,event_information,1,1,Will Morocco win on 2026-07-04?,unresolved > event_information > not_anomalous_after_context > insufficient_data
canada_morocco_match,4,V4-CASE-004;V4-CASE-005;V4-CASE-007;V4-CASE-008,event_information;unusual_but_unresolved,unusual_but_unresolved,2,1,Will Morocco win on 2026-07-04? | Will Canada win on 2026-07-04?,unresolved > event_information > not_anomalous_after_context > insufficient_data
cross_market_two_sided_2026-06-26,2,V4-CASE-060;V4-CASE-061,unusual_but_unresolved,unusual_but_unresolved,2,0,Will Australia win the 2026 FIFA World Cup? | Will Bosnia-Herzegovina win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
egypt_iran_early_prematch,1,V4-CASE-066,not_anomalous_after_context,not_anomalous_after_context,1,1,Will Egypt vs. IR Iran end in a draw?,unresolved > event_information > not_anomalous_after_context > insufficient_data
england_argentina_postmatch_terminal,1,V4-CASE-050,event_information,event_information,1,1,Will Argentina win on 2026-07-15?,unresolved > event_information > not_anomalous_after_context > insufficient_data
england_terminal_2026-07-15,4,V4-CASE-029;V4-CASE-033;V4-CASE-058;V4-CASE-059,event_information;not_anomalous_after_context,event_information,1,0,Will England win the 2026 FIFA World Cup?,unresolved > event_information > not_anomalous_after_context > insufficient_data
